Date,Open,High,Low,Close,Volume,TradeCount,WAP,HasGaps
20120628  17:10:00,131.63,131.67,131.54,131.64,16759,4634,131.607,False
20120628  17:15:00,131.64,131.71,131.56,131.68,17700,3945,131.649,False
20120628  17:20:00,131.67,131.77,131.66,131.76,12322,2893,131.723,False
20120628  17:25:00,131.75,131.88,131.73,131.85,16284,4276,131.817,False
20120628  17:30:00,131.85,131.97,131.84,131.88,20070,4864,131.911,False
20120628  17:35:00,131.88,131.98,131.85,131.92,8228,2367,131.93,False
20120628  17:40:00,131.91,131.93,131.82,131.84,10350,2821,131.863,False
20120628  17:45:00,131.84,131.88,131.81,131.83,6372,1891,131.847,False
20120628  17:50:00,131.83,131.83,131.75,131.78,6137,1699,131.801,False
20120628  17:55:00,131.78,131.86,131.77,131.83,5624,1744,131.825,False
20120628  18:00:00,131.82,131.91,131.82,131.9,7736,1897,131.87,False
20120628  18:05:00,131.9,131.93,131.81,131.9,9188,2393,131.858,False
20120628  18:10:00,131.91,131.95,131.88,131.89,4120,1244,131.916,False
20120628  18:15:00,131.88,131.89,131.76,131.77,9118,2382,131.803,False
20120628  18:20:00,131.77,131.79,131.63,131.71,20712,4384,131.684,False
20120628  18:25:00,131.69,131.77,131.69,131.75,5363,1617,131.737,False
20120628  18:30:00,131.76,131.76,131.66,131.66,5854,2009,131.716,False
20120628  18:35:00,131.66,131.7,131.61,131.69,9760,2600,131.646,False
20120628  18:40:00,131.69,131.75,131.65,131.71,6743,2092,131.706,False
20120628  18:45:00,131.71,131.74,131.63,131.67,8472,2368,131.671,False
20120628  18:50:00,131.67,131.85,131.67,131.84,9497,2861,131.799,False
20120628  18:55:00,131.84,131.85,131.76,131.82,5750,1824,131.817,False
20120628  19:00:00,131.82,131.83,131.68,131.8,12906,3661,131.767,False
20120628  19:05:00,131.79,131.91,131.75,131.84,8136,2330,131.832,False
20120628  19:10:00,131.84,131.9,131.79,131.81,6770,1559,131.824,False
20120628  19:15:00,131.81,131.81,131.71,131.72,7938,2220,131.75,False
20120628  19:20:00,131.72,131.77,131.66,131.67,8161,2222,131.718,False
20120628  19:25:00,131.67,131.82,131.65,131.74,9542,2596,131.753,False
20120628  19:30:00,131.74,131.74,131.65,131.67,4854,1477,131.693,False
20120628  19:35:00,131.67,131.7,131.56,131.56,9429,2732,131.628,False
20120628  19:40:00,131.57,131.61,131.48,131.58,16659,3731,131.546,False
20120628  19:45:00,131.59,131.62,131.51,131.52,6561,1952,131.557,False
20120628  19:50:00,131.52,131.57,131.49,131.49,4716,1363,131.537,False
20120628  19:55:00,131.49,131.74,131.46,131.71,14805,3835,131.608,False
20120628  20:00:00,131.71,131.75,131.65,131.69,8207,2080,131.699,False
20120628  20:05:00,131.69,131.71,131.54,131.55,8972,2325,131.608,False
20120628  20:10:00,131.54,131.56,131.49,131.54,9010,2243,131.525,False
20120628  20:15:00,131.53,131.54,131.33,131.42,20540,4722,131.399,False
20120628  20:20:00,131.42,131.44,131.3,131.34,11847,2985,131.358,False
20120628  20:25:00,131.34,131.38,131.32,131.37,5841,1902,131.359,False
20120628  20:30:00,131.37,131.42,131.28,131.41,12495,3606,131.339,False
20120628  20:35:00,131.41,131.47,131.37,131.37,9470,2388,131.41,False
20120628  20:40:00,131.38,131.5,131.36,131.49,9652,2690,131.456,False
20120628  20:45:00,131.5,131.53,131.44,131.49,7857,2147,131.485,False
20120628  20:50:00,131.48,131.52,131.45,131.51,6744,1873,131.488,False
20120628  20:55:00,131.51,131.61,131.49,131.59,11426,3353,131.565,False
20120628  21:00:00,131.59,131.74,131.56,131.68,13867,3892,131.669,False
20120628  21:05:00,131.68,131.86,131.64,131.79,17020,4029,131.771,False
20120628  21:10:00,131.8,131.81,131.71,131.73,14049,3187,131.757,False
20120628  21:15:00,131.72,131.8,131.69,131.76,7833,2478,131.739,False
20120628  21:20:00,131.75,131.93,131.74,131.81,17444,4364,131.852,False
20120628  21:25:00,131.81,131.95,131.73,131.95,22104,5395,131.831,False
20120628  21:30:00,131.95,132.55,131.91,132.35,66738,15949,132.253,False
20120628  21:35:00,132.35,132.83,132.31,132.74,60992,14700,132.554,False
20120628  21:40:00,132.73,132.82,132.42,132.52,58361,14545,132.609,False
20120628  21:45:00,132.52,132.91,132.52,132.85,59271,14406,132.767,False
20120628  21:50:00,132.85,132.95,132.7,132.71,47208,12940,132.811,False
20120628  21:55:00,132.72,132.99,132.71,132.79,71589,17944,132.877,False
20120628  22:00:00,132.78,132.98,131.49,132.9,40733,3208,132.801,False
20120628  22:05:00,132.89,132.94,132.83,132.86,8803,863,132.877,False
20120628  22:10:00,132.86,132.87,132.75,132.87,3842,711,132.822,False
20120628  22:15:00,132.82,132.89,132.78,132.88,6354,582,132.813,False
20120628  22:20:00,132.83,132.87,132.76,132.8,2285,357,132.81,False
20120628  22:25:00,132.81,132.82,132.77,132.79,847,133,132.797,False
20120628  22:30:00,132.79,132.79,132.71,132.71,701,130,132.759,False
20120628  22:35:00,132.73,132.88,132.7,132.75,2828,72,132.82,False
20120628  22:40:00,132.73,132.73,132.66,132.67,936,77,132.694,False
20120628  22:45:00,132.66,132.69,132.63,132.66,511,80,132.656,False
