Date,Open,High,Low,Close,Volume,TradeCount,VWAP
2012-06-29 10:00:00,134.2,134.64,134.2,134.42,63,26,134.41
2012-06-29 10:05:00,134.58,134.59,134.43,134.43,6,5,134.515
2012-06-29 10:10:00,134.58,134.58,134.32,134.5,87,12,134.401
2012-06-29 10:15:00,134.48,134.48,134.48,134.48,1,1,134.48
2012-06-29 10:20:00,134.49,134.49,134.49,134.49,1,1,134.49
2012-06-29 10:25:00,134.45,134.45,134.45,134.45,1,1,134.45
2012-06-29 10:30:00,134.44,134.44,134.44,134.44,2,2,134.44
2012-06-29 10:35:00,134.38,134.38,134.36,134.36,75,2,134.367
2012-06-29 10:40:00,134.36,134.36,134.36,134.36,5,1,134.36
2012-06-29 10:45:00,134.34,134.34,134.34,134.34,1,1,134.34
2012-06-29 10:50:00,134.32,134.32,134.32,134.32,10,1,134.32
2012-06-29 10:55:00,134.38,134.47,134.38,134.47,15,3,134.457
2012-06-29 11:00:00,134.41,134.49,134.41,134.49,23,3,134.434
2012-06-29 11:05:00,134.49,134.49,134.41,134.41,32,9,134.456
2012-06-29 11:10:00,134.41,134.45,134.38,134.38,50,6,134.409
2012-06-29 11:15:00,134.33,134.33,134.33,134.33,6,2,134.33
2012-06-29 11:20:00,134.3,134.31,134.3,134.31,29,4,134.307
2012-06-29 11:25:00,134.34,134.34,134.34,134.34,2,1,134.34
2012-06-29 11:30:00,134.4,134.43,134.4,134.43,50,5,134.401
2012-06-29 11:35:00,134.43,134.43,134.43,134.43,0,0,134.43
2012-06-29 11:40:00,134.5,134.5,134.5,134.5,10,1,134.5
2012-06-29 11:45:00,134.51,134.58,134.44,134.58,28,7,134.535
2012-06-29 11:50:00,134.59,134.61,134.59,134.61,6,2,134.607
2012-06-29 11:55:00,134.51,134.57,134.51,134.57,70,7,134.567
2012-06-29 12:00:00,134.51,134.51,134.48,134.48,57,3,134.482
2012-06-29 12:05:00,134.5,134.52,134.48,134.52,262,7,134.482
2012-06-29 12:10:00,134.52,134.52,134.46,134.46,40,7,134.487
2012-06-29 12:15:00,134.46,134.46,134.35,134.37,348,23,134.414
2012-06-29 12:20:00,134.37,134.37,134.37,134.37,59,7,134.37
2012-06-29 12:25:00,134.38,134.45,134.38,134.45,31,9,134.423
2012-06-29 12:30:00,134.44,134.44,134.39,134.42,64,9,134.409
2012-06-29 12:35:00,134.45,134.54,134.45,134.54,22,5,134.512
2012-06-29 12:40:00,134.52,134.52,134.52,134.52,18,7,134.52
2012-06-29 12:45:00,134.53,134.64,134.53,134.64,101,28,134.598
2012-06-29 12:50:00,134.62,134.65,134.61,134.64,170,26,134.625
