Date,Open Price,High Price,Low Price,Close Price,Prev Close Price,Total Traded Quantity,Total Traded Value,52 Week High Price,52 Week Low Price,VWAP,Deliverable Volume,Deliverable Percent,Series
2023-01-02,3261.0,3266.85,3235.2,3261.45,3256.7,709547,2308912232.4,4043.0,2926.1,3254.07,331817,46.76,EQ
2023-01-03,3252.0,3320.0,3245.3,3311.35,3261.45,1245178,4109451969.85,4043.0,2926.1,3300.29,667103,53.57,EQ
2023-01-04,3306.7,3327.35,3286.2,3314.65,3311.35,1231668,4072443029.75,4043.0,2926.1,3306.45,778260,63.19,EQ
2023-01-05,3330.2,3337.3,3281.95,3311.1,3314.65,1826057,6046882556.65,4043.0,2926.1,3311.44,1202559,65.86,EQ
2023-01-06,3300.0,3301.55,3200.0,3211.55,3311.1,2488376,8061309460.35,4043.0,2926.1,3239.59,1584546,63.68,EQ
2023-01-09,3229.0,3327.0,3221.15,3319.95,3211.55,2885060,9521605532.85,4043.0,2926.1,3300.31,1472534,51.04,EQ
2023-01-10,3285.0,3298.0,3230.1,3286.4,3319.95,3864655,12595576966.85,4043.0,2926.1,3259.17,1741399,45.06,EQ
2023-01-11,3290.1,3349.5,3271.15,3328.7,3286.4,2720512,9044771106.4,4043.0,2926.1,3324.66,1305512,47.99,EQ
2023-01-12,3329.0,3350.0,3315.55,3334.35,3328.7,2250391,7503381269.75,4043.0,2926.1,3334.26,1525003,67.77,EQ
2023-01-13,3342.9,3379.0,3305.0,3374.55,3334.35,1742837,5843664088.1,4043.0,2926.1,3352.96,870219,49.93,EQ
2023-01-16,3317.0,3353.0,3298.05,3334.05,3374.55,1843607,6137668725.0,4043.0,2926.1,3329.16,901765,48.91,EQ
2023-01-17,3330.0,3381.8,3321.0,3378.4,3334.05,1688475,5679961504.85,4043.0,2926.1,3363.96,1114320,66.0,EQ
2023-01-18,3380.0,3408.95,3372.25,3390.0,3378.4,2421189,8220093824.8,4043.0,2926.1,3395.06,1836244,75.84,EQ
2023-01-19,3380.0,3387.0,3361.0,3373.1,3390.0,1585044,5350223100.95,4043.0,2926.1,3375.44,1136996,71.73,EQ
2023-01-20,3365.0,3394.65,3355.6,3363.1,3373.1,1529349,5161134363.85,4043.0,2926.1,3374.73,1142015,74.67,EQ
2023-01-23,3388.0,3419.0,3355.6,3414.9,3363.1,1067916,3624151502.6,3882.5,2926.1,3393.67,556602,52.12,EQ
2023-01-24,3425.0,3451.95,3417.3,3436.3,3414.9,1387863,4766925961.05,3882.5,2926.1,3434.72,839699,60.5,EQ
2023-01-25,3425.3,3435.0,3405.0,3429.75,3436.3,874110,2992469996.45,3882.5,2926.1,3423.45,496771,56.83,EQ
2023-01-27,3426.0,3446.0,3382.3,3411.05,3429.75,1785879,6100466647.25,3882.5,2926.1,3415.95,1136348,63.63,EQ
2023-01-30,3420.0,3458.45,3385.55,3433.65,3411.05,1953798,6689383780.35,3882.5,2926.1,3423.78,1262724,64.63,EQ
2023-01-31,3449.0,3449.0,3351.0,3358.7,3433.65,2820375,9507642423.25,3882.5,2926.1,3371.06,1914024,67.86,EQ
2023-02-01,3363.0,3419.0,3355.0,3408.35,3358.7,2205161,7461580946.75,3882.5,2926.1,3383.69,1384239,62.77,EQ
2023-02-02,3427.0,3469.0,3420.1,3460.4,3408.35,1813847,6256103714.75,3882.5,2926.1,3449.08,1063804,58.65,EQ
2023-02-03,3504.0,3504.0,3452.9,3482.3,3460.4,1804469,6285334518.4,3882.5,2926.1,3483.2,1093996,60.63,EQ
2023-02-06,3473.15,3473.15,3436.85,3459.95,3482.3,1138714,3936596844.85,3854.1,2926.1,3457.05,717114,62.98,EQ
2023-02-07,3468.9,3493.0,3461.4,3472.55,3459.95,1455647,5063543516.1,3854.1,2926.1,3478.55,917470,63.03,EQ
2023-02-08,3478.05,3539.9,3478.05,3520.1,3472.55,1986946,7004180343.6,3854.1,2926.1,3525.1,1144916,57.62,EQ
2023-02-09,3515.0,3547.6,3505.3,3540.85,3520.1,1655427,5850314027.3,3854.1,2926.1,3534.02,1124204,67.91,EQ
