Date,Open Price,High Price,Low Price,Close Price,Prev Close Price,Total Traded Quantity,Total Traded Value,52 Week High Price,52 Week Low Price,VWAP,Deliverable Volume,Deliverable Percent,Series
2004-08-25,1198.7,1198.7,979.0,987.95,850.0,17116372,17258760957.45,0.0,0.0,1008.32,5206360,30.42,EQ
2004-08-26,992.0,997.0,975.3,979.0,987.95,5055400,4982864767.3,1198.7,979.0,985.65,1294899,25.61,EQ
2004-08-27,982.4,982.4,958.55,962.65,979.0,3830750,3715586030.8,1198.7,975.3,969.94,976527,25.49,EQ
2004-08-30,969.9,990.0,965.0,986.75,962.65,3058151,3005106339.9,1198.7,958.55,982.65,701664,22.94,EQ
2004-08-31,986.5,990.0,976.0,988.1,986.75,2649332,2602132650.65,1198.7,958.55,982.18,695234,26.24,EQ
2004-09-01,990.0,995.0,983.6,987.9,988.1,2491943,2466235576.95,1198.7,958.55,989.68,790586,31.73,EQ
2004-09-02,989.9,1004.6,986.0,993.65,987.9,2669544,2661426196.4,1198.7,958.55,996.96,501792,18.8,EQ
2004-09-03,1006.0,1100.0,990.35,997.85,993.65,1233732,1229916939.9,1198.7,958.55,996.91,235508,19.09,EQ
2004-09-06,1039.9,1039.9,992.9,994.85,997.85,1129834,1128553951.75,1198.7,958.55,998.87,430184,38.07,EQ
2004-09-07,1035.0,1035.0,995.0,995.6,994.85,721529,719610913.6,1198.7,958.55,997.34,198212,27.47,EQ
2004-09-08,996.0,1000.8,991.1,993.7,995.6,824248,820361682.5,1198.7,958.55,995.29,220195,26.71,EQ
2004-09-09,997.0,997.9,978.45,979.95,993.7,993398,978657426.05,1198.7,958.55,985.16,364189,36.66,EQ
2004-09-10,990.0,990.0,976.0,988.8,979.95,801884,789950664.25,1198.7,958.55,985.12,203388,25.36,EQ
2004-09-13,991.0,1015.5,991.0,1003.5,988.8,2613114,2632220570.75,1198.7,958.55,1007.31,735865,28.16,EQ
2004-09-14,1005.0,1018.8,1002.95,1015.65,1003.5,1916934,1941763417.65,1198.7,958.55,1012.95,493998,25.77,EQ
2004-09-15,1018.0,1020.0,1001.2,1006.1,1015.65,1498536,1512208351.85,1198.7,958.55,1009.12,483466,32.26,EQ
2004-09-16,1007.0,1015.0,1002.5,1008.45,1006.1,919778,928806251.55,1198.7,958.55,1009.82,240651,26.16,EQ
2004-09-17,1012.0,1029.9,1010.3,1024.5,1008.45,1828487,1867047286.0,1198.7,958.55,1021.09,538239,29.44,EQ
2004-09-20,1032.4,1036.9,1020.15,1022.9,1024.5,1069028,1099843534.0,1198.7,958.55,1028.83,305251,28.55,EQ
2004-09-21,1024.85,1048.5,1022.0,1045.8,1022.9,1737135,1805822479.35,1198.7,958.55,1039.54,413801,23.82,EQ
2004-09-22,1048.4,1056.0,1037.1,1052.05,1045.8,1921448,2012857077.25,1198.7,958.55,1047.57,443693,23.09,EQ
2004-09-23,1048.0,1049.0,1027.0,1030.25,1052.05,1977460,2052199849.25,1198.7,958.55,1037.8,846586,42.81,EQ
