Date,Open,High,Low,Close,Volume,Adj Close
2010-12-31,72.65,73.06,72.50,72.58,2054500,66.03
2010-12-30,72.67,73.10,72.52,72.68,1443000,66.12
2010-12-29,72.79,72.98,72.54,72.68,1484700,66.12
2010-12-28,72.95,73.13,72.68,72.81,1632900,66.24
2010-12-27,72.50,73.15,72.37,72.81,1612800,66.24
2010-12-23,72.88,72.97,72.50,72.73,1540500,66.17
2010-12-22,73.06,73.18,72.67,72.86,1531600,66.29
2010-12-21,73.00,73.18,72.86,72.88,2127400,66.31
2010-12-20,73.43,73.54,72.33,72.74,3515200,66.18
2010-12-17,73.74,73.88,72.88,73.06,6813000,66.47
2010-12-16,72.25,73.94,71.57,73.76,7250500,67.11
2010-12-15,72.16,72.80,72.02,72.25,3520800,65.73
2010-12-14,73.04,73.08,72.14,72.60,3857900,66.05
2010-12-13,73.24,73.24,72.71,72.77,2979200,66.21
2010-12-10,73.35,73.57,72.35,72.89,3404000,66.31
2010-12-09,72.31,73.59,72.30,73.04,6291600,66.45
2010-12-08,71.74,72.17,71.39,72.01,2932200,65.51
2010-12-07,72.15,72.42,71.60,71.69,4994600,65.22
2010-12-06,71.67,72.02,71.22,71.69,3498500,65.22
2010-12-03,71.44,71.88,70.87,71.80,3859200,65.32
2010-12-02,71.45,72.20,71.43,71.86,4513800,65.38
2010-12-01,70.97,71.90,70.87,71.44,5762100,65.00
2010-11-30,69.26,70.65,69.06,70.13,7606600,63.80
2010-11-29,68.96,69.98,68.59,69.88,5209100,63.58
2010-11-26,69.09,69.48,68.95,69.10,1842200,62.87
2010-11-24,68.55,69.87,68.55,69.59,4635100,63.31
2010-11-23,68.01,68.26,67.43,68.16,3775400,62.01
2010-11-22,68.77,69.08,68.15,68.79,3441300,62.58
2010-11-19,68.21,69.11,67.87,69.11,4166400,62.88
2010-11-18,67.93,68.63,67.75,68.17,2885300,62.02
2010-11-17,67.40,67.62,66.97,67.24,2560500,61.17
2010-11-16,67.70,67.91,66.90,67.51,4070300,61.42
2010-11-15,68.23,68.73,67.94,68.07,2456100,61.93
2010-11-12,68.09,68.36,67.76,68.12,2802100,61.98
2010-11-11,67.77,68.34,67.48,68.28,2770800,62.12
2010-11-10,68.26,68.51,67.61,68.07,4962500,61.93
2010-11-09,69.83,69.88,68.74,68.99,4615200,62.34
2010-11-08,69.61,69.61,68.95,69.48,3304700,62.78
2010-11-05,69.34,69.96,69.28,69.79,3685200,63.06
